Cust Name,Cust State,Customer ID,Customer Type,Emp ID,Employee Job Title,Employee Name,Order Date,Order Num,Order Type,Prod Category,Prod Name,Prod Number,Sales Region,Discount,Order Total,Price,Quantity
Ferd Sline,Georgia,3984,Individual,900016625,Sales Representative,Marshal Alexander,05/01/2021,1105251,Retail,Mineral water,Mineral Water - Lemon - 32oz - case,MW222,Southeast,0,41.98,20.99,2
Kimberley Knapton,Florida,1166,Individual,900011701,Sales Representative,Susan Dixon,05/01/2021,1105252,Retail,Fitness,Insulated water bottle - 24oz - Pink,FT172,Southeast,0,19.99,19.99,1
Vonny Moreton,Nevada,1323,Individual,900019907,Sales Associate I,Lorrie Ellison,05/01/2021,1105253,Retail,Fitness,Yoga mat - 3mm,FT525,Southwest,0,21.99,21.99,1
Clevey Dreng,Florida,2711,Individual,900016625,Sales Representative,Marshal Alexander,05/01/2021,1105254,Retail,Mineral water,Mineral Water - Lemon - 32oz - case,MW222,Southeast,0,20.99,20.99,1
Aili Stockey,Massachusetts,3865,Individual,900015105,Sales Representative,Sharla Campbell,05/01/2021,1105255,Retail,Mineral water,Mineral Water - Blueberry - 32oz - case,MW122,Northeast,0,41.98,20.99,2
Skiles LLC,Illinois,3388,Business,900012283,Sales Associate,Nicole Hansen,06/01/2021,1105256,Retail,Fitness,Yoga ball - 55cm,FT609,N Central East,0,3243.24,20.79,156
Duffy Durban,California,3537,Individual,900013621,Sales Associate,Hannah Rosenstock,06/01/2021,1105257,Retail,Mineral water,Mineral Water - Natural -  32oz - case,MW202,Southwest,0,67.96,16.99,4
Carma Threlfall,California,3339,Individual,900019856,Sales Associate I,Henry Rodriguez,06/01/2021,1105258,Retail,Supplements,Vitamin D3 1000 IU - 160 capsules,SP609,Southwest,0,8.99,8.99,1
Ardis Jenoure,Tennessee,1183,Individual,900019273,Sales Representative,Michelle Howard,06/01/2021,1105259,Retail,Supplements,Iron 65 mg - 150 capsules,SP602,Central East,0,6.95,6.95,1
Hollie Albrecht,Florida,1635,Individual,900016625,Sales Representative,Marshal Alexander,06/01/2021,1105260,Retail,Fitness,Yoga ball - 65cm,FT485,Southeast,0,22.79,22.79,1
Drona Levermore,New York,4088,Individual,900015105,Sales Representative,Sharla Campbell,06/01/2021,1105261,Retail,Mineral water,Mineral Water - Raspberry -  20oz - case,MW152,Northeast,0,29.98,14.99,2
Ingaberg MacKeogh,District of Columbia,3994,Individual,900010453,Senior Sales Representative,Sean Fetterman,06/01/2021,1105262,Retail,Supplements,Multivitamin - 120 capsules,SP303,Central East,0,21.6,21.6,1
Roger Gilbee,Alabama,3304,Individual,900011701,Sales Representative,Susan Dixon,06/01/2021,1105263,Retail,Supplements,Vitamin B-complex - 200 capsules,SP607,Southeast,0,24.1,24.1,1
Oberbrunner Group,Michigan,1947,Business,900012506,Sales Associate V,Lisa Sanchez,06/01/2021,1105264,Wholesale,Fitness,Insulated water bottle - 24oz -Blue,FT139,N Central East,0.14,4457.63,19.99,223
Beezwax Inc,Ohio,2903,Business,900010428,Sales Representative,Cory Hall,07/01/2021,1105265,Retail,Fitness,Insulated water bottle - 24oz - Grey,FT434,N Central East,0,5997,19.99,300
Duffie Wolton,California,1239,Individual,900017067,Senior Sales Representative,Christy Beedom,07/01/2021,1105266,Retail,Supplements,Magnesium 250 mg - 160 tablets,SP305,Southwest,0,65.3,32.65,2
Joycelin Colthurst,California,3652,Individual,900013621,Sales Associate,Hannah Rosenstock,07/01/2021,1105267,Retail,Fitness,Insulated water bottle - 40oz - Pink,FT644,Southwest,0,28.79,28.79,1
Chev Lisett,California,2724,Individual,900019856,Sales Associate I,Henry Rodriguez,07/01/2021,1105268,Retail,Mineral water,Mineral Water - Strawberry -  20oz - case,MW162,Southwest,0,29.98,14.99,2
Chrysler Chadwick,California,2178,Individual,900019856,Sales Associate I,Henry Rodriguez,07/01/2021,1105269,Retail,Supplements,Calcium 400 IU - 200 tablets,SP603,Southwest,0,16.99,16.99,1
Ravid Scoines,Wisconsin,3358,Individual,900012283,Sales Associate,Nicole Hansen,07/01/2021,1105270,Retail,Supplements,Vitamin B-complex - 100 capsules,SP125,N Central East,0,26.9,13.45,2
Germaine Farran,Idaho,2327,Individual,900010836,Senior Sales Representative,Constantine Acosta,07/01/2021,1105271,Retail,Supplements,Vitamin D3 1000 IU - 100 capsules,SP204,Northwest,0,13.98,6.99,2
Filide Bolitho,California,1614,Individual,900013621,Sales Associate,Hannah Rosenstock,07/01/2021,1105272,Retail,Fitness,Kettlebell - 30 lb,FT350,Southwest,0,79.99,79.99,1
Yorgos Dunton,Connecticut,1129,Individual,900016415,Sales Representative,Marsha Green,07/01/2021,1105273,Retail,Mineral water,Mineral Water - Blueberry -  20oz - case,MW112,Northwest,0,14.99,14.99,1
Debera McKinlay,California,1195,Individual,900010898,Sales Associate II,Dana Hart,07/01/2021,1105274,Retail,Fitness,Insulated water bottle - 24oz - Grey,FT434,Southwest,0,19.99,19.99,1
Pollich Group,Arizona,1650,Business,900012320,Sales Associate,Mary Hamilton,07/01/2021,1105275,Wholesale,Mineral water,Mineral Water - Mango - 32oz - case,MW282,S Central West,0.14,5793.1,20.99,276
Hansen Group,Virginia,3713,Business,900012995,Senior Sales Representative,Brenda Johnson,08/01/2021,1105276,Wholesale,Mineral water,Mineral Water - Raspberry -  20oz - case,MW152,Central East,0.06,2503.27,14.99,167
Far Pow,Mississippi,2253,Individual,900019019,Senior Sales Associate,Tiffany Cooper,08/01/2021,1105277,Retail,Fitness,Insulated water bottle - 40oz - Purple,FT344,S Central East,0,57.58,28.79,2
Skippie Anthill,Texas,1268,Individual,900019019,Senior Sales Associate,Tiffany Cooper,08/01/2021,1105278,Retail,Mineral water,Mineral Water - Strawberry - 32oz - case,MW262,S Central East,0,62.97,20.99,3
Lenci Tomovic,Alabama,2167,Individual,900019334,Sales Associate I,Mitch White,08/01/2021,1105279,Retail,Supplements,Iron 65 mg - 80 capsules,SP202,Southeast,0,14.25,4.75,3
Darrelle Coughan,Georgia,1826,Individual,900016625,Sales Representative,Marshal Alexander,08/01/2021,1105280,Retail,Supplements,Vitamin B-complex - 200 capsules,SP607,Southeast,0,24.1,24.1,1
Malvin Chesman,Illinois,2264,Individual,900018684,Sales Associate IV,Vincent Wright,08/01/2021,1105281,Retail,Fitness,Slam ball - 5 lb,FT280,N Central East,0,43.95,43.95,1
Myrlene Knyvett,Kansas,3519,Individual,900018684,Sales Associate IV,Vincent Wright,08/01/2021,1105282,Retail,Mineral water,Mineral Water - Mango -  20oz - case,MW182,N Central East,0,44.97,14.99,3
Martie Spittall,New York,3926,Individual,900015961,Sales Associate III,Wynona Smith,08/01/2021,1105283,Retail,Supplements,Magnesium 250 mg - 100 tablets,SP123,Northeast,0,89.4,22.35,4
Staci Zollner,California,1521,Individual,900013621,Sales Associate,Hannah Rosenstock,08/01/2021,1105284,Retail,Mineral water,Mineral Water - Raspberry -  20oz - case,MW152,Southwest,0,29.98,14.99,2
Hamid Dunford,Kansas,1582,Individual,900012283,Sales Associate,Nicole Hansen,08/01/2021,1105285,Retail,Mineral water,Mineral Water - Lemon - 32oz - case,MW222,N Central East,0,125.94,20.99,6
Goldner Inc,Colorado,1161,Business,900017953,Sales Associate I,Carrie Jordan,09/01/2021,1105286,Wholesale,Fitness,Insulated water bottle - 24oz - Green,FT976,S Central West,0.14,1898.91,19.99,95
Calla Bonhan,Missouri,4003,Individual,900019019,Senior Sales Associate,Tiffany Cooper,09/01/2021,1105287,Retail,Supplements,Vitamin C-1000 mg - 140 tablets,SP126,S Central East,0,14.6,14.6,1
Evanne Bruce,New York,2993,Individual,900016439,Sales Associate IV,Alyssa Jackson,09/01/2021,1105288,Retail,Fitness,Resistance bands - 30 lb,FT530,Northeast,0,12.99,12.99,1
Marcella Patey,California,1523,Individual,900017067,Senior Sales Representative,Christy Beedom,09/01/2021,1105289,Retail,Mineral water,Mineral Water - Orange -  20oz - case,MW132,Southwest,0,29.98,14.99,2
Thatcher McQuillan,Florida,3881,Individual,900012349,Sales Associate I,Steve Gordon,09/01/2021,1105290,Retail,Supplements,Calcium 400 IU - 140 tablets,SP201,Southeast,0,12.99,12.99,1
Tracie Pegden,Colorado,4080,Individual,900012281,Sales Associate I,Logan Augur,09/01/2021,1105291,Retail,Supplements,Vitamin B-complex - 100 capsules,SP125,S Central West,0,26.9,13.45,2
Gregor Renison,Colorado,3325,Individual,900020001,Sales Representative,Morten Shivers,09/01/2021,1105292,Retail,Fitness,Insulated water bottle - 40oz - Grey,FT895,S Central West,0,57.58,28.79,2
Marylee Gemmill,Louisiana,2194,Individual,900016320,Sales Associate II,Paul Turner,09/01/2021,1105293,Retail,Mineral water,Mineral Water - Lemon -  20oz - case,MW122,S Central East,0,29.98,14.99,2
Hilpert Group,Florida,2925,Business,900012349,Sales Associate I,Steve Gordon,10/01/2021,1105294,Wholesale,Fitness,Yoga mat - 3mm,FT525,Southeast,0.1,1693.13,21.99,77
Gan Philipsson,Oklahoma,2523,Individual,900019019,Senior Sales Associate,Tiffany Cooper,10/01/2021,1105295,Retail,Mineral water,Mineral Water - Orange - 32oz - case,MW232,S Central East,0,41.98,20.99,2
Chev Rubbens,Texas,2901,Individual,900012203,Sales Associate I,Christen Barrett,10/01/2021,1105296,Retail,Supplements,Vitamin B-complex - 100 capsules,SP125,S Central East,0,13.45,13.45,1
Sim Bowler,Texas,2880,Individual,900012203,Sales Associate I,Christen Barrett,10/01/2021,1105297,Retail,Supplements,Iron 65 mg - 150 capsules,SP602,S Central East,0,6.95,6.95,1
Debor Agronski,Florida,3417,Individual,900015003,Sales Associate III,Cynthia Cash,10/01/2021,1105298,Retail,Supplements,Magnesium 250 mg - 160 tablets,SP305,Southeast,0,65.3,32.65,2
Whitby MacDowal,California,2652,Individual,900011079,Sales Representative,Marla Phifer,10/01/2021,1105299,Retail,Supplements,Iron 65 mg - 150 capsules,SP602,Southwest,0,13.9,6.95,2
Francoise Langelaan,Massachusetts,1438,Individual,900015961,Sales Associate III,Wynona Smith,10/01/2021,1105300,Retail,Fitness,Insulated water bottle - 40oz - Green,FT682,Northeast,0,57.58,28.79,2
Shirl Pumfrey,Louisiana,4093,Individual,900018712,Sales Associate II,Dru Clingman,11/01/2021,1105301,Retail,Fitness,Resistance bands - 10 lb,FT727,S Central East,0,10.99,10.99,1
Grady Shand,Florida,1315,Individual,900011701,Sales Representative,Susan Dixon,11/01/2021,1105302,Retail,Mineral water,Mineral Water - Natural -  32oz - case,MW202,Southeast,0,50.97,16.99,3
Geoffry Bonde,California,3384,Individual,900019907,Sales Associate I,Lorrie Ellison,11/01/2021,1105303,Retail,Supplements,Vitamin D3 1000 IU - 160 capsules,SP609,Southwest,0,17.98,8.99,2
Geoffry Bonde,California,3384,Individual,900019907,Sales Associate I,Lorrie Ellison,11/01/2021,1105304,Retail,Supplements,Iron 65 mg - 80 capsules,SP202,Southwest,0,4.75,4.75,1
Baron Beathem,Georgia,2915,Individual,900019334,Sales Associate I,Mitch White,11/01/2021,1105305,Retail,Fitness,Resistance bands - set of 5,FT870,Southeast,0,110,55,2
Tonia Zanni,Minnesota,1794,Individual,900012746,Senior Sales Representative,Becky Allen,12/01/2021,1105306,Retail,Mineral water,Mineral Water - Strawberry - 32oz - case,MW262,N Central East,0,20.99,20.99,1
Grady Shand,Florida,1315,Individual,900011701,Sales Representative,Susan Dixon,12/01/2021,1105307,Retail,Mineral water,Mineral Water - Orange -  20oz - case,MW132,Southeast,0,29.98,14.99,2
Shaun Souttar,Texas,1861,Individual,900010859,Sales Representative,Nick Chen,12/01/2021,1105308,Retail,Supplements,Vitamin D3 1000 IU - 160 capsules,SP609,S Central East,0,8.99,8.99,1
Ezmeralda Gert,New York,2583,Individual,900015105,Sales Representative,Sharla Campbell,12/01/2021,1105309,Retail,Supplements,Vitamin D3 1000 IU - 160 capsules,SP609,Northeast,0,8.99,8.99,1
Breitenberg Inc,Montana,1815,Business,900016111,Sales Associate I,Edward Loveless,13/01/2021,1105310,Retail,Supplements,Vitamin C-1000 mg - 140 tablets,SP126,N Central West,0,5183,14.6,355
Considine Group,Florida,1446,Business,900016625,Sales Representative,Marshal Alexander,13/01/2021,1105311,Wholesale,Mineral water,Mineral Water - Orange -  20oz - case,MW132,Southeast,0.1,4107.16,14.99,274
Franklin Grieswood,Florida,3248,Individual,900011701,Sales Representative,Susan Dixon,13/01/2021,1105312,Retail,Supplements,Vitamin C-1000 mg - 140 tablets,SP126,Southeast,0,29.2,14.6,2
Miguel McCobb,California,1537,Individual,900013621,Sales Associate,Hannah Rosenstock,13/01/2021,1105313,Retail,Supplements,Vitamin B-complex - 200 capsules,SP607,Southwest,0,48.2,24.1,2
Dugald Shuter,Ohio,2033,Individual,900015499,Senior Sales Associate,Lauren Skip,13/01/2021,1105314,Retail,Fitness,Insulated water bottle - 24oz - Purple,FT181,N Central East,0,19.99,19.99,1
Hesther Blaxland,California,2218,Individual,900019907,Sales Associate I,Lorrie Ellison,13/01/2021,1105315,Retail,Fitness,Insulated water bottle - 24oz -Blue,FT139,Southwest,0,19.99,19.99,1
Egbert Cole,Connecticut,2633,Individual,900014621,Sales Associate II,Shantel Francis,13/01/2021,1105316,Retail,Mineral water,Mineral Water - Natural - 20oz - case,MW102,Northeast,0,38.97,12.99,3
Thibaud Elloy,Alaska,1151,Individual,900016415,Sales Representative,Marsha Green,13/01/2021,1105317,Retail,Supplements,Vitamin C-1000 mg - 140 tablets,SP126,Northwest,0,14.6,14.6,1
Nicolais Yerson,Indiana,1601,Individual,900018684,Sales Associate IV,Vincent Wright,13/01/2021,1105318,Retail,Supplements,Calcium 400 IU - 200 tablets,SP603,N Central East,0,33.98,16.99,2
Kendal Utterson,Florida,3559,Individual,900016625,Sales Representative,Marshal Alexander,13/01/2021,1105319,Retail,Mineral water,Mineral Water - Cranberry - 32oz - case,MW272,Southeast,0,104.95,20.99,5
Toy LLC,Illinois,2318,Business,900012506,Sales Associate V,Lisa Sanchez,14/01/2021,1105320,Wholesale,Supplements,Vitamin B-complex - 160 capsules,SP203,N Central East,0.15,1932.33,19.52,99
Ernser Inc,Vermont,2407,Business,900015961,Sales Associate III,Wynona Smith,14/01/2021,1105321,Wholesale,Supplements,Flaxseed Oil 1000mg - 120 capsules,SP121,Northeast,0.14,2769.23,16.99,163
Kalindi Brimblecomb,District of Columbia,2542,Individual,900013649,Senior Sales Representative,John Ashwin,14/01/2021,1105322,Retail,Fitness,Kettlebell - 20 lb,FT981,Central East,0,59.99,59.99,1
Donna Glasman,Minnesota,3674,Individual,900015499,Senior Sales Associate,Lauren Skip,14/01/2021,1105323,Retail,Mineral water,Mineral Water - Mango -  20oz - case,MW182,N Central East,0,14.99,14.99,1
Carl Dennistoun,Alabama,2591,Individual,900019334,Sales Associate I,Mitch White,14/01/2021,1105324,Retail,Mineral water,Mineral Water - Blueberry - 32oz - case,MW122,Southeast,0,20.99,20.99,1
Kellen Mochan,Texas,1594,Individual,900019019,Senior Sales Associate,Tiffany Cooper,14/01/2021,1105325,Retail,Fitness,Battle rope - 1.5 inch,FT422,S Central East,0,90.55,90.55,1
Jenkins Group,Kentucky,3905,Business,900012995,Senior Sales Representative,Brenda Johnson,15/01/2021,1105326,Wholesale,Fitness,Kettlebell - 30 lb,FT350,Central East,0.01,10398.69,79.99,130
Von Group,California,1244,Business,900011079,Sales Representative,Marla Phifer,15/01/2021,1105327,Wholesale,Mineral water,Mineral Water - Lemon -  20oz - case,MW122,Southwest,0.07,6715.45,14.99,448
Powlowski Group,Florida,3672,Business,900019334,Sales Associate I,Mitch White,15/01/2021,1105328,Wholesale,Supplements,Flaxseed Oil 1000mg - 90 capsules,SP304,Southeast,0.05,2310.6,12.49,185
Yuri O'Daly,New Jersey,3683,Individual,900016439,Sales Associate IV,Alyssa Jackson,15/01/2021,1105329,Retail,Mineral water,Mineral Water - Natural -  32oz - case,MW202,Northeast,0,50.97,16.99,3
Yuri O'Daly,New Jersey,3683,Individual,900016439,Sales Associate IV,Alyssa Jackson,15/01/2021,1105330,Retail,Mineral water,Mineral Water - Blueberry - 32oz - case,MW122,Northeast,0,62.97,20.99,3
